source,target,value
Aksai Chin,China,1
Albania,Cuba,1
Albania,United States,1
Algeria,Portugal,1
Argentina,Argentina,1
Argentina,China,1
Argentina,India,2
Argentina,Lebanon,1
Armenia,Armenia,1
Armenia,Scotland,1
Armenia,United Kingdom,2
Australia,Australia,1
Australia,India,1
Australia,Russia,2
Australia,United Kingdom,1
Bahamas,Cuba,1
Bahamas,Denmark,1
Bahamas,Israel,1
Bahamas,Norway,1
Bangladesh,Pakistan,1
Belgium,Denmark,2
Belgium,France,1
Belgium,Germany,1
Belgium,Norway,1
Botswana,China,1
Botswana,Germany,1
Botswana,Indonesia,1
Botswana,Lesotho,1
Botswana,Malaysia,1
Brazil,Chile,1
Brazil,Colombia,1
Brazil,Cuba,1
Brazil,France,1
Brazil,Iran,1
Brazil,Israel,1
Brazil,South Africa,1
Brazil,Tanzania,1
Brazil,United States,1
Canada,Finland,1
Canada,Poland,1
Canada,Ukraine,1
Chile,Cuba,1
Chile,Iran,1
China,China,1
China,France,1
China,Germany,1
China,India,2
China,Indonesia,1
China,Israel,1
China,Japan,3
China,Lebanon,1
China,Lesotho,1
China,Malaysia,1
China,Palestine,1
Colombia,Mexico,1
Colombia,Tanzania,1
Costa Rica,Guatemala,1
Cuba,Denmark,1
Cuba,Norway,1
Cuba,United States,2
Denmark,Denmark,1
Denmark,France,2
Denmark,Norway,3
Denmark,Poland,1
Denmark,Russia,2
Egypt,Israel,1
Egypt,Italy,1
Egypt,United Kingdom,2
Egypt,United States,1
Ethiopia,India,1
Ethiopia,Israel,2
Ethiopia,Sudan,1
Finland,Russia,1
Finland,Ukraine,1
France,France,1
France,Germany,2
France,Iran,1
France,Japan,1
France,Norway,1
France,Philippines,1
France,Thailand,1
France,United States,1
Germany,Indonesia,1
Germany,Italy,1
Germany,Lesotho,1
Germany,Malaysia,1
Germany,Mexico,1
Germany,Myanmar,1
Germany,Poland,1
Germany,Russia,1
Germany,Spain,1
Germany,Switzerland,1
Germany,Venezuela,1
Greece,Greece,1
Hungary,United Kingdom,1
India,India,4
India,Israel,2
India,Lebanon,2
India,United Kingdom,5
Indonesia,Indonesia,1
Indonesia,Lesotho,1
Indonesia,Malaysia,2
Iran,Iran,1
Iran,South Korea,1
Iran,Syria,3
Iran,United States,1
Israel,Israel,10
Israel,Japan,1
Israel,Lebanon,5
Israel,Palestine,3
Israel,Peru,1
Israel,Taiwan,1
Israel,United States,3
Italy,Northern Ireland,1
Italy,United States,1
Italy,Venezuela,1
Japan,Japan,1
Japan,Peru,1
Japan,United States,1
Kazakhstan,Russia,2
Kazakhstan,United States,1
Kenya,Tanzania,1
Lebanon,Lebanon,1
Lesotho,Malaysia,1
Libya,Philippines,1
Libya,Sweden,1
Libya,Ukraine,1
Malawi,Malta,1
North Korea,South Korea,1
Palestine,South Korea,1
Palestine,United Kingdom,2
Palestine,United States,1
Panama,Panama,1
Philippines,Sweden,1
Philippines,Thailand,1
Philippines,Ukraine,1
Poland,Poland,3
Poland,Russia,3
Portugal,Russia,2
Portugal,United Kingdom,1
Russia,Russia,1
Russia,Spain,1
Russia,United Kingdom,1
Russia,United States,1
Rwanda,United States,1
Slovakia,South Korea,1
South Africa,United Kingdom,1
Sweden,Ukraine,1
Syria,Syria,3
Uganda,Uganda,1
